topic_id,top_words,npmi
61,"mafia, asian, korban, nyaring, penyidik, koruptor, kami, tanah, bertambah, sarang",0.4139
62,"pemerintah, mengajak, executive, chief, wargajagawarga, officer, gercep, begadang, posted, siskamling",0.4139
63,"polisipembunuhrakyat, polisimusuhbersama, meninggal, polisipembunuh, jancuk, brimob, dprbubar, lengah, mundur, sanksi",0.4139
64,"polres, polri, menyapa, polriuntukmasyarakat, polresta, polantas, polripresisi, polsek, desa, kegiatan",0.4139
65,"drama, film, menonton, korea, elit, melihati, ibunya, jerome, pura, kepala",0.4139
66,"caught, act, in, the, berduka, turut, matinya, prayforindonesia, atas, demokrasi",0.4139
67,"ecstasy, heroin, jr, decarlos, bless, god, riwayat, gawe, naif, departemen",0.4139
68,"exciting, tiktok, dibungkam, streaming, tik, shopee, snack, tok, youtube, adik",0.4139
69,"someone, something, or, good, sebagainya, tinggal, jebakan, hatihati, waspada, saling",0.4139
70,"sinergijagakedamaian, bapak, ojol, kompak, bareng, bikin, makin, kota, kedamaian, adem",0.4139
71,"foto, photoshop, ceritanya, rental, jkt48, nangkep, woi, perintah, maling, disuruh",0.4139
72,"laugh, selengkapnya, baca, laughing, ri, dpr, silence, jakarta, senin, ujar",0.4139
73,"paralytic, kalian, badut, pejuang, panggung, binatang, lindungi, dijadikan, artis, fokus",0.4139
74,"mental, nyali, rawat, tes, biasa, organisasi, kena, pengecut, boleh, waktunya",0.4139
75,"qatar, israel, telepon, serangan, trump, donald, berbincang, sambungan, udara, buy",0.4139
76,"tune, name, that, banjir, bali, duka, act, caught, in, sampaikan",0.4139
77,"networking, ronda, pos, wargajagawarga, bapakbapak, hobi, menyindir, virtual, duanya, targetnya",0.4139
78,"result, fyp4d, shio, salingjagabekasi, tanggal, pengeluaran, pemenang, daruratmiliter, september, selamat",0.4139
79,"driver, ojol, training, kota, daring, ojek, semarang, servis, meluas, brimob",0.4139
80,"rakyat, wakil, versus, ronda, penuhi, digunakan, mewakili, pejabat, aparat, keroknya",0.4139
81,"alcohol, tni, ke80, upacara, laut, angkatan, dirgahayu, hut, sejahtera, jayamahe",0.4139
82,"melindas, dibelok, negaraku, pecah, belah, lah, menindas, terlibat, rusuh, melaporkan",0.4139
83,"motif, indramayu, pembunuhan, keluarga, ungkap, satu, ditemukan, siliwangi, mengungkap, terkubur",0.4139
84,"iphone, pro, kamera, kiss, chip, desain, max, setara, tahan, keluar",0.4139
85,"stoppolicebrutality, acab1312, polisipembunuhrakyat, macet, polisipembunuh, lonte, pasangan, tahi, sakit, gesrek",0.4139
86,"taskin, satgas, berkualitas, beliau, bp, diambil, presiden, mengeluarkan, simak, publik",0.4139
87,"podcast, keponakan, rahayu, saraswati, pernyataannya, subianto, ucapan, mundur, diri, mengundurkan",0.4139
88,"koruptor, uu, sah, paralytic, perampasan, tangkap, koruptornya, penghianat, korupsi, termul",0.4139
89,"boyfriend, shoulder, over, bila, hehe, harap, dia, gendut, seolah, sedangkan",0.4139
90,"buzzer, makmur, gugat, kacau, tiba, polisimusuhbersama, manajemen, lapisan, upgrade, tandingan",0.4139
91,"environment, development, integrated, bagus, manapun, energi, biji, sarjana, forensik, bi",0.4139
92,"lupa, jangan, beralih, gocek, tujuan, mainan, ajarkan, fokus, bubarkandpr, belagu",0.4139
93,"influencer, genosida, bulletin, kakak, pirate, board, tuntutan, dukung, tiba, lot",0.4139
