,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
19,1.96e+18,30/08/2025 08:28,0,tahun ikut demo reformasidikorupsi tanpa izin ke orang tua berangkat dari kampus bersama lely dan hilda sekarang ibuku sudah ngancam duluan biar tidak diam diam ikutan demo seperti dulu dulu tapi sejujurnya hati kecilku ingin ikutan merasa guilty if just simpan quiet dan di nothing,1.96e+18,https://pbs.twimg.com/media/Gzlis26bsAAjqpm.jpg,,in,0,0,0,https://x.com/undefined/status/1961707644017938898,1.08e+18,ReformasiDikorupsi,20
20,1.96e+18,30/08/2025 05:47,0,demo reformasidikorupsi juga begini waktu,1.96e+18,,senjatanuklir,in,0,0,0,https://x.com/undefined/status/1961666954005241944,934014716.0,ReformasiDikorupsi,21
21,1.96e+18,30/08/2025 05:24,1,tetap fokus reformasidikorupsi,1.96e+18,https://pbs.twimg.com/media/Gzk4jGMbkAMbi8w.jpg,idextratime,ht,0,0,0,https://x.com/undefined/status/1961661295780102457,341267493.0,ReformasiDikorupsi,22
22,1.96e+18,30/08/2025 04:09,0,indonesia tidak butuh presiden gagah di podium indonesia butuh pemimpin yang berani mendengar rakyat diam berpihak pada penindasan pilihan ada di tangan bapak reformasidikorupsi indonesiaberduka,1.96e+18,,ananows_,in,0,0,0,https://x.com/undefined/status/1961642334615154950,484762423.0,ReformasiDikorupsi,23
23,1.96e+18,30/08/2025 04:09,0,dpr terima jutabulan untuk rumah mewah rakyat turun ke jalan suaranya ditutup flatulence blanked mata bapak bisa lihat atau sengaja purapura buta amplifier tuli reformasidikorupsi indonesiaberduka,1.96e+18,,,in,0,1,0,https://x.com/undefined/status/1961642315816030408,484762423.0,ReformasiDikorupsi,24
24,1.96e+18,30/08/2025 00:46,0,jadi titik mendidihnya indonesiagelap jika reformasidikorupsi maka mungkin revolusiataumatitertindas bisa jadi alternatif untuk semua kegilaan ini reformasipolri reformasidpr reformasiparlemen reformasitotalpolri turunkanprabowogibran pemiluulang,1.96e+18,,WiseTigerSage,in,0,1,0,https://x.com/undefined/status/1961591309715816579,1.2e+18,ReformasiDikorupsi,25
25,1.96e+18,29/08/2025 17:15,0,waktu ikut demo reformasidikorupsi naik transum kakak barengbareng sama mahasiswa lain tapi mencarmencar biar tidak kena sweeping baru doh mencari information tikum dimana,1.96e+18,,bakuldimsum_,in,0,0,0,https://x.com/undefined/status/1961477730664378371,1.7e+18,ReformasiDikorupsi,26
26,1.96e+18,29/08/2025 12:12,1,sering terjadi dari waktu reformasidikorupsi untuk melancarkan narasi mereka biar terkesan kanu heunceut my gararesit,1.96e+18,,awsam_abu,in,0,0,0,https://x.com/undefined/status/1961401467677635009,2269707120.0,ReformasiDikorupsi,27
27,1.96e+18,29/08/2025 11:54,0,mundur woi tanggung jawab ini ulah kalian karena kebijakan kebijakan bodoh polisipembunuhrakyat reformasidikorupsi indonesiagelap,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961397051666600360,386967336.0,ReformasiDikorupsi,28
28,1.96e+18,29/08/2025 09:34,0,di temenku yang jadi wercok pas demo reformasidikorupsi juga ngetweet buat narasi yang sama nanti giliran ada apaapa meminta tolong ke kita very so padahal dia lumayan cerdas hey you sayang juara kelas ternyata masuk wercok bisa ngubah isi otaknya,1.96e+18,,,in,1,0,0,https://x.com/undefined/status/1961361801385529527,316918910.0,ReformasiDikorupsi,29
29,1.96e+18,29/08/2025 09:08,0,pasca reformasi gelombang demonstrasi selalu senantiasa berujung klise sejak reformasidikorupsi mositidakpercaya tolakomnibuslaw ruukhup semuabisakena sampai kemarin yang terakhir indonesiagelap berakhir anyone but manchester united anyone but manchester united semua kebijakan yang kontroversial hasilnya tetap disahkan,1.96e+18,,,in,0,1,0,https://x.com/undefined/status/1961355313891664382,1.72e+18,ReformasiDikorupsi,30
30,1.96e+18,29/08/2025 03:47,6,dari reformasidikorupsi sampai aksi masyarakat nentang playstation network di daerah cara paling gampang buat nyetop aksi berikutnya buat snowballing adalah dengan nangkepin massa represi memang goblok tapi ampuh sangat,1.96e+18,,Eduardlazarus,in,0,1,0,https://x.com/undefined/status/1961274514932994469,235421767.0,ReformasiDikorupsi,31
31,1.96e+18,28/08/2025 19:41,26,jadi ingat luthfi anak short term memory yang fotonya viral pegang bendera di aksi reformasidikorupsi yang ditahan karena melawan polisi saat demo tolong dan kakak menjaga ibuknya dan pantau ibunya terus you selalu ditemenin kemanamana huhu khawatir,1.96e+18,,,in,0,1,3,https://x.com/undefined/status/1961152169740272128,141582052.0,ReformasiDikorupsi,32
32,1.96e+18,28/08/2025 17:29,0,kejadian terulang kembali di reformasidikorupsi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1961118918757790115,3039814633.0,ReformasiDikorupsi,33
33,1.96e+18,28/08/2025 16:48,6,pecat semua menteri dpr polisi yang butatuli penuhi semua tuntutan rakyat indonesiagelap peringatandarurat reformasidikorupsi,1.96e+18,,monstreza,in,0,0,3,https://x.com/undefined/status/1961108544117510199,377601687.0,ReformasiDikorupsi,34
34,1.96e+18,28/08/2025 15:52,0,nabrak rakyat bukan cara meredam protes itu cara membuat demokrasi pincang dan sejarah akan mencatat siapa yang jadi pelindung siapa yang jadi penindas reformasidikorupsi lawanrepresi,1.96e+18,,AmiraHawisa20,in,0,0,0,https://x.com/undefined/status/1961094556189151503,1.33e+18,ReformasiDikorupsi,35
35,1.96e+18,28/08/2025 15:41,379,administrator on forum network etc stock mylanta campur blanked ada boleh dicampur buat ngeredain akibat flatulence blanked mata lebih ampuh dari pada pasta gigi pengalaman dari aksi reformasidikorupsi,1.96e+18,,humaniesproject,in,0,0,35,https://x.com/undefined/status/1961091720109609000,192231045.0,ReformasiDikorupsi,36
36,1.96e+18,4/9/2025 2:55,1,guyonan rakyat sudah seperti begini kok tidak mempan you memang sangat mendesak bapak reformasipolri reformasipolisi,1.96e+18,,,in,0,0,0,https://x.com/undefined/status/1963435829436551573,3152238055.0,ReformasiPolri,37
