topic_id,top_words,npmi
60,"jambi, premanisme, sibuk, integritas, linge, palsu, pedagang, seragam, do, ijasah",0.4606
61,"mental, sdm, mentalnya, rawat, tes, buru, kriminal, organisasi, bayangkan, sir",0.4606
62,"judol, backing, panik, jatah, situs, budi, diurusi, dialihkan, ancam, diurus",0.4606
63,"rakyat, pro, bina, come, tampung, anjng, matikan, gengsi, definisi, polisimiliter",0.4606
64,"laugh, selengkapnya, baca, laughing, silence, ri, anggotanya, dpr, jakarta, senin",0.4606
65,"networking, ronda, pos, wargajagawarga, server, follow, channel, whatsapp, bapakbapak, internet",0.4606
66,"ecstasy, heroin, decarlos, jr, naif, riwayat, charlotte, year, kehakiman, departemen",0.4606
67,"paralytic, rakyatmu, hotel, teralihkan, simpati, dijadikan, artis, isi, palsu, miskin",0.4606
68,"sinergijagakedamaian, ojol, kompak, kota, jaga, kedamaian, adem, benerbener, kerja, keren",0.4606
69,"negara, maluku, urusan, malu, kacau, narasi, pemerintahan, hukum, berlaku, antek",0.4606
70,"act, caught, in, the, berduka, matinya, prayforindonesia, demokrasi, semoga, giveawaynya",0.4606
71,"stop, it, cowok, sampah, keur, hujan, gantungkapolri, kapolrisampah, pacarnya, budi",0.4606
72,"driver, ojol, training, daring, kota, ojek, semarang, servis, meluas, simpang",0.4606
73,"personal, area, network, breaking, news, eko, kuya, uya, patrio, nasdem",0.4606
74,"foto, photoshop, ceritanya, rental, jkt48, upchar, nangkep, fisik, yes, perintah",0.4606
75,"exciting, tiktok, streaming, tik, shopee, snack, tok, buzzer, youtube, dibungkam",0.4606
76,"tumben, kecuali, penerus, ketilang, dinegeri, steal, kesana, mogok, keren, bawaslu",0.4606
77,"motif, indramayu, pembunuhan, keluarga, terkubur, ditemukan, siliwangi, sadis, mengungkap, nomor",0.4606
78,"test, polairud, kedekatan, menjalin, perairan, kutai, sambang, polres, satuan, udara",0.4606
79,"pemerintah, cantik, sehari, berbuat, dipimpin, disewa, nurunin, mengecilkan, denial, pecandu",0.4606
80,"buzzer, makmur, gugat, yusuf, report, kacau, brengsek, gabung, disana, pejabat",0.4606
81,"rumah, sahroni, dinas, eko, stalker, sokan, tiang, asrama, berkunjung, padang",0.4606
82,"result, fyp4d, shio, salingjagabekasi, tanggal, pengeluaran, pemenang, daruratmiliter, september, selamat",0.4606
83,"shoulder, over, boyfriend, kelompok, harap, budaya, dinonaktifkan, gendut, kasihan, sore",0.4606
84,"tune, name, banjir, bali, duka, that, caught, act, in, the",0.4606
85,"pro, kamera, kiss, chip, max, desain, setara, tahan, harga, 120hz",0.4606
86,"drama, korea, melihati, kepala, ibunya, jerome, pura, elit, kelompok, menonton",0.4606
87,"metro, riau, polda, jaya, sherina, klarifikasi, ojolberduka, bekasi, talk, later",0.4606
88,"reshuffle, kabinet, posisi, berangusgengsolo, direshuffle, gunawan, menteri, putih, sjafrie, reshufflekabinet",0.4606
89,"pink, brave, hero, green, hijau, bravepink, warna, makna, of, lot",0.4606
90,"september, medis, rakyattagihjanji, mei, grup, mahasiswa, aksi, november, longmarch, kaltim",0.4606
91,"media, sosial, yaani, isu, malaysia, kwenye, provokasi, memetik, berisiko, disuarakan",0.4606
92,"anjing, bajingan, kacang, mengetik, pekanbaru, polis, voters, perdagangan, kerok, kontrak",0.4606
93,"makassar, dprd, dibakar, gedung, dprmpr, kota, kediri, dprbubar, dprri, massa",0.4606
94,"korupsi, koruptor, uu, aset, sah, perampasan, pelan, penjara, tangkap, ketahuan",0.4606
95,"bilang, grammar, otaknya, pilihan, polisinya, dirazia, cuti, dipisah, monokotil, tamtama",0.4606
96,"alcohol, ke80, upacara, tni, laut, hut, jalesveva, angkatan, kapal, abal",0.4606
97,"guru, kamla, manfaat, kemana, small, ribu, strategi, kementerian, sarjana, pintar",0.4606
98,"moral, penjahat, ame, ok, etika, that, joged, kkn, film, overhauled",0.4606
99,"multi, see, user, you, graphics, computer, kursus, uyu, muri, pistol",0.4606
100,"podcast, keponakan, rahayu, pernyataannya, saraswati, subianto, ucapan, sara, mengundurkan, gerung",0.4606
101,"pizza, nchi, kwa, hii, huduma, yuko, yaani, hili, ibrahim, hakuna",0.4606
102,"development, integrated, environment, bagus, manapun, biji, sarjana, bi, akrab, biar",0.4606
103,"tugasnya, tugas, ytta, ora, tugu, menjalani, basi, ciptakan, blok, kolaborasi",0.4606
104,"kejahatan, faktor, ngopi, apbn, kerjanya, angkatan, masyarakat, selamat, pintar, proses",0.4606
105,"scosummit2025, padat, singkat, asked, polisipembunuhrakyat, baliho, trade, commanding, mewakilkan, world",0.4606
106,"kode, booking, nikmati, staycation, desember, diskon, hemat, aplikasi, berlaku, klaim",0.4606
107,"orang, dimaafkan, begonya, kegocek, obyektif, ngebakar, didunia, unik, mual, malaka",0.4606
108,"telpon, bengkulu, telat, kapolda, gojeknya, syok, mengobati, divonis, rekannya, asuransi",0.4606
