conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,Keyword,ID
1.96E+18,30/08/2025 12:57,0,Bekaskan Pajak Yang Mencekik 135+ yg terbantai kok adem ??? Undang Undang Perampasan Aset kapan Jadinya ?? #ReformasiDiKorupsi #ReformasiDPR #SuaraRakyatDijerat #ACAB #1213 #ReformasiDikebiri #Kawal #UsutTuntas #RevisiUndangUndangPolisi https://t.co/4TyiA4ARYQ,1.96E+18,https://pbs.twimg.com/media/GzmgT-raEAABgx2.jpg,fariz_chamim,in,0,1,0,https://x.com/undefined/status/1961775382115524774,156323783,ReformasiDikorupsi,17
1.96E+18,30/08/2025 10:23,0,Jika tuntutan ini diabaikan maka rakyat berhak bergerak seperti 1998 mengembalikan NKRI pada jalur proklamasi: kedaulatan rakyat keadilan sosial dan kemanusiaan. @msaid_didu #ReformasiPolri #CopotKapolri #ReformasiDikorupsi #KedaulatanRakyat,1.96E+18,,SandiMataram,in,0,0,0,https://x.com/undefined/status/1961736612003582325,1.76E+18,ReformasiDikorupsi,18
1.96E+18,30/08/2025 10:01,2,@Bola_Jakarta Emng punya otak sama hati nurani mereka dul? Kan kalo punya mah bikin kesalahan sekali juga langsung tanggung jawab dan suka rela mundur ini dari #Reformasidikorupsi sampai saat ini masih adem ayem bae tuh orang² ya,1.96E+18,,Bola_Jakarta,in,0,0,0,https://x.com/undefined/status/1961730943657574879,1.13E+18,ReformasiDikorupsi,19
1.96E+18,30/08/2025 08:28,0,tahun 2019 ikut demo #REFORMASIDIKORUPSI tanpa izin ke org tua berangkat dari kampus bersama lely dan hilda. skrg ibuku udah ngancam duluan biar ga diem2 ikutan demo kayak dulu2 tapi sejujurnya hati kecilku pgn ikutan i feel guilty if i just keep quiet and do nothing https://t.co/Zmc0JXoDzg,1.96E+18,https://pbs.twimg.com/media/Gzlis26bsAAjqpm.jpg,,in,0,0,0,https://x.com/undefined/status/1961707644017938898,1.08E+18,ReformasiDikorupsi,20
1.96E+18,30/08/2025 05:47,0,@senjatanuklir Demo #ReformasiDikorupsi juga begini waktu 2019,1.96E+18,,senjatanuklir,in,0,0,0,https://x.com/undefined/status/1961666954005241944,934014716,ReformasiDikorupsi,21
1.96E+18,30/08/2025 05:24,1,@idextratime Tetap fokus #REFORMASIDIKORUPSI https://t.co/s39BIbShoq,1.96E+18,https://pbs.twimg.com/media/Gzk4jGMbkAMbi8w.jpg,idextratime,ht,0,0,0,https://x.com/undefined/status/1961661295780102457,341267493,ReformasiDikorupsi,22
1.96E+18,30/08/2025 04:09,0,Indonesia tidak butuh Presiden gagah di podium. Indonesia butuh pemimpin yang berani mendengar rakyat. Diam = berpihak pada penindasan. @prabowo pilihan ada di tangan Bapak. #ReformasiDikorupsi #IndonesiaBerduka,1.96E+18,,ananows_,in,0,0,0,https://x.com/undefined/status/1961642334615154950,484762423,ReformasiDikorupsi,23
1.96E+18,30/08/2025 04:09,0,DPR terima 50 juta/bulan untuk rumah mewah. Rakyat turun ke jalan suaranya ditutup gas air mata. @prabowo Bapak bisa lihat? Atau sengaja pura-pura buta &amp; tuli? #ReformasiDikorupsi #IndonesiaBerduka,1.96E+18,,,in,0,1,0,https://x.com/undefined/status/1961642315816030408,484762423,ReformasiDikorupsi,24
1.96E+18,30/08/2025 00:46,0,2025 jadi titik mendidihnya #IndonesiaGelap jika #Reformasidikorupsi maka mungkin #RevolusiAtauMatiTertindas bisa jadi alternatif untuk semua kegilaan ini. #ReformasiPOLRI #ReformasiDPR #ReformasiParlemen #reformasitotalpolri #TurunkanPrabowoGibran #pemiluulang,1.96E+18,,WiseTigerSage,in,0,1,0,https://x.com/undefined/status/1961591309715816579,1.20E+18,ReformasiDikorupsi,25
1.96E+18,29/08/2025 17:15,0,@bakuldimsum_ Waktu ikut demo #reformasidikorupsi naik transum kak. Bareng-bareng sama mahasiswa lain tapi mencar-mencar biar ngga kena sweeping baru deh nyari info tikum dimana,1.96E+18,,bakuldimsum_,in,0,0,0,https://x.com/undefined/status/1961477730664378371,1.70E+18,ReformasiDikorupsi,26
1.96E+18,29/08/2025 12:12,1,@awsam_abu Sering terjadi dari 2019 waktu #ReformasiDikorupsi untuk melancarkan narasi mereka biar terkesan kanu heunceut mah gararesit ,1.96E+18,,awsam_abu,in,0,0,0,https://x.com/undefined/status/1961401467677635009,2269707120,ReformasiDikorupsi,27
1.96E+18,29/08/2025 11:54,0,MUNDUR WOIII. TANGGUNG JAWAB. INI ULAH KALIAN KARENA KEBIJAKAN2 TOLOL! @DPR_RI #PolisiPembunuhRakyat #ReformasiDikorupsi #IndonesiaGelap,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1961397051666600360,386967336,ReformasiDikorupsi,28
1.96E+18,29/08/2025 09:34,0,Di 2019 temenku yang jadi wercok pas demo #ReformasiDikorupsi juga nge-tweet make narasi yang sama.. Nanti giliran ada apa-apa minta tolong ke kita Well padahal dia lumayan cerdas lets say juara kelas ternyata masuk wercok bisa ngubah isi otaknya..,1.96E+18,,,in,1,0,0,https://x.com/undefined/status/1961361801385529527,316918910,ReformasiDikorupsi,29
1.96E+18,29/08/2025 09:08,0,Pasca Reformasi. Gelombang demonstrasi selalu senantiasa berujung klise. Sejak #REFORMASIDIKORUPSI #MosiTidakPercaya #tolakomnibuslaw #ruukhup #semuabisakena sampai kemarin yg terakhir #IndonesiaGelap berakhir abu2. Semua kebijakan yg kontroversial hasilnya ttp disahkan!,1.96E+18,,,in,0,1,0,https://x.com/undefined/status/1961355313891664382,1.72E+18,ReformasiDikorupsi,30
1.96E+18,29/08/2025 03:47,6,Dari #ReformasiDIkorupsi 2019 sampai aksi masyarakat nentang PSN di daerah cara paling gampang buat nyetop aksi berikutnya buat snowballing adalah dengan nangkepin massa. Represi emang goblok tapi ampuh banget.,1.96E+18,,Eduardlazarus,in,0,1,0,https://x.com/undefined/status/1961274514932994469,235421767,ReformasiDikorupsi,31
1.96E+18,28/08/2025 19:41,26,Jadi inget Luthfi anak STM yg fotonya viral pegang bendera di aksi ReformasiDiKorupsi yg ditahan krn melawan polisi saat Demo. Tolong @LBH_Jakarta dan Mas @handri003 jagain ibuknya dan pantau ibunya terus ya selalu ditemenin kemana-mana huhu khawatir,1.96E+18,,,in,0,1,3,https://x.com/undefined/status/1961152169740272128,141582052,ReformasiDikorupsi,32
1.96E+18,28/08/2025 17:29,0,kejadian 2019 terulang kembali di 2025 #ReformasiDikorupsi,1.96E+18,,,in,0,0,0,https://x.com/undefined/status/1961118918757790115,3039814633,ReformasiDikorupsi,33
1.96E+18,28/08/2025 16:48,6,@monstreza Pecat semua menteri dpr polisi yg buta-tuli. Penuhi semua tuntutan rakyat @prabowo @bang_dasco @puanmaharani_ri #IndonesiaGelap #peringatandarurat #reformasidikorupsi @Gerindra @DivHumas_Polri,1.96E+18,,monstreza,in,0,0,3,https://x.com/undefined/status/1961108544117510199,377601687,ReformasiDikorupsi,34
